,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2019-02-09 01:17:39,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190209T011739_20190209T011804_025846_02E042_ED71,2019-02-08 19:26:10,COPERNICUS/S2_SR_HARMONIZED/20190208T192551_20190208T192545_T11WPN,L2A_T11WPN_A018972_20190208T192545
1,2019-02-21 01:17:39,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190221T011739_20190221T011804_026021_02E679_F44D,2019-02-20 19:16:15,COPERNICUS/S2_SR_HARMONIZED/20190220T191429_20190220T191425_T11WPN,L2A_T11WPN_A010235_20190220T191425
2,2019-04-10 01:17:40,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190410T011740_20190410T011805_026721_03000C_243B,2019-04-09 19:26:15,COPERNICUS/S2_SR_HARMONIZED/20190409T191911_20190409T192057_T11WPN,L2A_T11WPN_A019830_20190409T192057
3,2019-04-22 01:17:41,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190422T011741_20190422T011806_026896_030658_023A,2019-04-21 19:16:23,COPERNICUS/S2_SR_HARMONIZED/20190421T190919_20190421T190920_T11WPN,L2A_T11WPN_A011093_20190421T190920
4,2019-05-28 01:17:42,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190528T011742_20190528T011807_027421_0317E1_65E8,2019-05-27 19:36:18,COPERNICUS/S2_SR_HARMONIZED/20190527T192919_20190527T192914_T11WPN,L2A_T11WPN_A011608_20190527T192914
5,2019-07-27 01:17:46,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190727T011746_20190727T011811_028296_03325D_B100,2019-07-26 19:36:18,COPERNICUS/S2_SR_HARMONIZED/20190726T192919_20190726T192914_T11WPN,L2A_T11WPN_A012466_20190726T192914
6,2019-10-19 01:17:49,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191019T011749_20191019T011814_029521_035C01_D14C,2019-10-18 19:16:17,COPERNICUS/S2_SR_HARMONIZED/20191018T191409_20191018T191410_T11WPN,L2A_T11WPN_A013667_20191018T191410
7,2020-02-16 01:17:46,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200216T011746_20200216T011811_031271_0398CB_0ACA,2020-02-15 19:16:12,COPERNICUS/S2_SR_HARMONIZED/20200215T191459_20200215T191455_T11WPN,L2A_T11WPN_A015383_20200215T191455
8,2020-03-23 01:17:46,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200323T011746_20200323T011811_031796_03AB0B_40E0,2020-03-22 19:36:08,COPERNICUS/S2_SR_HARMONIZED/20200322T192959_20200322T192957_T11WPN,L2A_T11WPN_A015898_20200322T192957
9,2020-04-16 01:17:47,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200416T011747_20200416T011812_032146_03B75C_5065,2020-04-15 19:16:12,COPERNICUS/S2_SR_HARMONIZED/20200415T190909_20200415T191332_T11WPN,L2A_T11WPN_A016241_20200415T191332
