,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2019-02-09 01:17:39,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190209T011739_20190209T011804_025846_02E042_ED71,2019-02-08 19:26:16,COPERNICUS/S2_SR_HARMONIZED/20190208T192551_20190208T192545_T11WNN,L2A_T11WNN_A018972_20190208T192545
1,2019-02-21 01:17:39,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190221T011739_20190221T011804_026021_02E679_F44D,2019-02-20 19:16:20,COPERNICUS/S2_SR_HARMONIZED/20190220T191429_20190220T191425_T11WNN,L2A_T11WNN_A010235_20190220T191425
2,2019-04-10 01:17:40,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190410T011740_20190410T011805_026721_03000C_243B,2019-04-09 19:26:21,COPERNICUS/S2_SR_HARMONIZED/20190409T191911_20190409T192057_T11WNN,L2A_T11WNN_A019830_20190409T192057
3,2019-04-22 01:17:41,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190422T011741_20190422T011806_026896_030658_023A,2019-04-21 19:16:27,COPERNICUS/S2_SR_HARMONIZED/20190421T190919_20190421T190920_T11WNN,L2A_T11WNN_A011093_20190421T190920
4,2019-05-28 01:17:42,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190528T011742_20190528T011807_027421_0317E1_65E8,2019-05-27 19:36:25,COPERNICUS/S2_SR_HARMONIZED/20190527T192919_20190527T192914_T11WNN,L2A_T11WNN_A011608_20190527T192914
5,2019-06-21 01:17:43,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190621T011743_20190621T011808_027771_032275_728C,2019-06-20 19:16:28,COPERNICUS/S2_SR_HARMONIZED/20190620T190919_20190620T191102_T11WNN,L2A_T11WNN_A011951_20190620T191102
6,2019-07-27 01:17:46,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20190727T011746_20190727T011811_028296_03325D_B100,2019-07-26 19:36:25,COPERNICUS/S2_SR_HARMONIZED/20190726T192919_20190726T192914_T11WNN,L2A_T11WNN_A012466_20190726T192914
7,2019-10-19 01:17:49,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20191019T011749_20191019T011814_029521_035C01_D14C,2019-10-18 19:16:22,COPERNICUS/S2_SR_HARMONIZED/20191018T191409_20191018T191410_T11WNN,L2A_T11WNN_A013667_20191018T191410
8,2020-02-16 01:17:46,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200216T011746_20200216T011811_031271_0398CB_0ACA,2020-02-15 19:16:16,COPERNICUS/S2_SR_HARMONIZED/20200215T191459_20200215T191455_T11WNN,L2A_T11WNN_A015383_20200215T191455
9,2020-03-23 01:17:46,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20200323T011746_20200323T011811_031796_03AB0B_40E0,2020-03-22 19:36:14,COPERNICUS/S2_SR_HARMONIZED/20200322T192959_20200322T192957_T11WNN,L2A_T11WNN_A015898_20200322T192957
