,s1_dates,s1_system_ids,s2_dates,s2_system_ids,s2_granule_ids
0,2019-02-24 23:55:01,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190224T235501_20190224T235526_015095_01C365_8C29,2019-02-24 18:05:31,COPERNICUS/S2_SR_HARMONIZED/20190224T180331_20190224T180325_T14WNU,L2A_T14WNU_A019200_20190224T180325
1,2019-04-13 23:55:01,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190413T235501_20190413T235526_015795_01DA66_1716,2019-04-13 18:15:40,COPERNICUS/S2_SR_HARMONIZED/20190413T180919_20190413T181109_T14WNU,L2A_T14WNU_A010978_20190413T181109
2,2019-04-25 23:55:02,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190425T235502_20190425T235527_015970_01E02D_2EBB,2019-04-25 18:05:39,COPERNICUS/S2_SR_HARMONIZED/20190425T175921_20190425T175915_T14WNU,L2A_T14WNU_A020058_20190425T175915
3,2019-09-28 23:55:10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20190928T235510_20190928T235535_018245_0225A9_FA5A,2019-09-28 18:25:33,COPERNICUS/S2_SR_HARMONIZED/20190928T182131_20190928T182500_T14WNU,L2A_T14WNU_A022289_20190928T182500
4,2019-10-22 23:55:10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20191022T235510_20191022T235535_018595_023087_8577,2019-10-22 18:05:39,COPERNICUS/S2_SR_HARMONIZED/20191022T180411_20191022T180502_T14WNU,L2A_T14WNU_A022632_20191022T180502
5,2020-02-07 23:55:07,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200207T235507_20200207T235532_020170_0262E2_2C2C,2020-02-07 18:15:30,COPERNICUS/S2_SR_HARMONIZED/20200207T181519_20200207T181519_T14WNU,L2A_T14WNU_A015268_20200207T181519
6,2020-02-19 23:55:07,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200219T235507_20200219T235532_020345_02687F_EBFC,2020-02-19 18:05:30,COPERNICUS/S2_SR_HARMONIZED/20200219T180401_20200219T180424_T14WNU,L2A_T14WNU_A024348_20200219T180424
7,2020-04-07 23:55:07,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200407T235507_20200407T235532_021045_027EBC_7FE5,2020-04-07 18:15:31,COPERNICUS/S2_SR_HARMONIZED/20200407T180909_20200407T181507_T14WNU,L2A_T14WNU_A016126_20200407T181507
8,2020-04-19 23:55:08,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20200419T235508_20200419T235533_021220_028440_1218,2020-04-19 18:05:37,COPERNICUS/S2_SR_HARMONIZED/20200419T175911_20200419T180006_T14WNU,L2A_T14WNU_A025206_20200419T180006
9,2021-03-21 23:55:10,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210321T235510_20210321T235535_026120_031DE0_3ED7,2021-03-21 18:25:31,COPERNICUS/S2_SR_HARMONIZED/20210321T182031_20210321T182412_T14WNU,L2A_T14WNU_A030011_20210321T182412
10,2021-04-14 23:55:11,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210414T235511_20210414T235536_026470_0328FB_DD28,2021-04-14 18:05:30,COPERNICUS/S2_SR_HARMONIZED/20210414T175911_20210414T175906_T14WNU,L2A_T14WNU_A030354_20210414T175906
11,2021-07-19 23:55:16,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210719T235516_20210719T235541_027870_035352_6393,2021-07-19 18:25:35,COPERNICUS/S2_SR_HARMONIZED/20210719T181921_20210719T182206_T14WNU,L2A_T14WNU_A031727_20210719T182206
12,2021-07-31 23:55:17,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210731T235517_20210731T235542_028045_03586C_046D,2021-07-31 18:15:36,COPERNICUS/S2_SR_HARMONIZED/20210731T180919_20210731T181136_T14WNU,L2A_T14WNU_A022990_20210731T181136
13,2021-09-17 23:55:19,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20210917T235519_20210917T235544_028745_036E28_20C2,2021-09-17 18:25:34,COPERNICUS/S2_SR_HARMONIZED/20210917T182021_20210917T182233_T14WNU,L2A_T14WNU_A032585_20210917T182233
14,2021-10-11 23:55:19,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20211011T235519_20211011T235544_029095_0378C5_147E,2021-10-11 18:05:41,COPERNICUS/S2_SR_HARMONIZED/20211011T180301_20211011T180302_T14WNU,L2A_T14WNU_A032928_20211011T180302
